log_q,log_p,log_y,share,log_hhsize,log_driver,log_hhr_age,total_wrkr,publictransit_d,cl5_smtown_d,cl5_suburban_d,cl5_secondcity_d,cl5_urban_d,popdensity_d2,popdensity_d3,popdensity_d4,popdensity_d5,popdensity_d6,popdensity_d7,popdensity_d8,state_fips,distance_oil1000
7.5092282,.3003642,10.95954,.042854354,1.3862944,.69314718,3.2958369,1,0,0,1,0,0,0,0,1,0,0,0,0,AZ,2.14095
6.7376509,.300134,10.868568,.021692615,1.0986123,.69314718,3.6888795,0,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
5.8680787,.29943275,10.221941,.017345369,1.3862944,.69314718,3.4657359,2,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.9960065,.30046719,11.695247,.033414233,1.7917595,1.0986123,3.6375861,1,0,0,1,0,0,0,0,0,1,0,0,0,AZ,2.14095
8.0569839,.30038854,11.407565,.047349792,1.3862944,1.0986123,3.6375861,2,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.8054366,.30031025,11.119883,.049088217,1.3862944,.69314718,3.7376697,2,0,0,1,0,0,1,0,0,0,0,0,0,AZ,2.14095
6.4684196,.30030972,11.119883,.012891932,1.3862944,.69314718,3.713572,2,0,0,0,0,1,0,0,0,0,1,0,0,AZ,2.14095
7.3183413,.30035219,11.119883,.030161483,1.3862944,.69314718,3.583519,2,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
6.4734588,.29993963,11.407565,.0097142011,1.0986123,.69314718,3.6109178,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.2941637,.30026805,10.868568,.037849534,1.0986123,.69314718,3.2580965,1,0,1,0,0,0,0,0,0,0,1,0,0,AZ,2.14095
7.4072013,.30035773,10.768485,.046844304,1.0986123,.69314718,3.6635616,1,0,0,1,0,0,0,0,0,0,1,0,0,AZ,2.14095
5.6594257,.30007529,11.119883,.0057395073,1.3862944,.69314718,3.9318256,2,0,0,0,0,1,0,0,0,0,1,0,0,AZ,2.14095
7.5176039,.30032235,10.021271,.11043322,1.0986123,.69314718,3.2580965,2,0,0,1,0,0,0,1,0,0,0,0,0,AZ,2.14095
5.452641,.29964286,10.388995,.0096895108,1.6094379,.69314718,3.7841897,1,0,1,0,0,0,0,0,0,1,0,0,0,AZ,2.14095
7.3592277,.30036366,10.657259,.049903315,1.7917595,1.3862944,3.5553482,3,0,0,0,0,1,0,0,0,1,0,0,0,AZ,2.14095
7.7018814,.30044425,11.119883,.044265158,1.3862944,.69314718,3.6635616,1,0,1,0,0,0,0,1,0,0,0,0,0,AZ,2.14095
